state,electric_vehicle_type,total_vehicles,promedio_electric_range,model_year
GA,Battery Electric Vehicle (BEV),2021,2.0,0
CA,Battery Electric Vehicle (BEV),2024,18.0,0
RI,Battery Electric Vehicle (BEV),2024,2.0,0
KY,Battery Electric Vehicle (BEV),2021,1.0,0
TN,Battery Electric Vehicle (BEV),2023,1.0,0
MD,Battery Electric Vehicle (BEV),2024,9.0,0
HI,Battery Electric Vehicle (BEV),2021,1.0,0
ID,Battery Electric Vehicle (BEV),2023,2.0,0
PA,Battery Electric Vehicle (BEV),2023,2.0,0
AL,Battery Electric Vehicle (BEV),2023,1.0,0
ID,Battery Electric Vehicle (BEV),2021,1.0,0
CO,Battery Electric Vehicle (BEV),2024,3.0,0
CA,Battery Electric Vehicle (BEV),2025,5.0,0
NJ,Battery Electric Vehicle (BEV),2024,1.0,0
MA,Battery Electric Vehicle (BEV),2025,1.0,0
FL,Battery Electric Vehicle (BEV),2021,3.0,0
TX,Battery Electric Vehicle (BEV),2023,7.0,0
IN,Battery Electric Vehicle (BEV),2024,1.0,0
DC,Battery Electric Vehicle (BEV),2023,2.0,0
NJ,Battery Electric Vehicle (BEV),2023,1.0,0
NY,Battery Electric Vehicle (BEV),2022,1.0,0
MI,Battery Electric Vehicle (BEV),2026,2.0,0
IL,Battery Electric Vehicle (BEV),2021,4.0,0
AK,Battery Electric Vehicle (BEV),2021,1.0,0
CT,Battery Electric Vehicle (BEV),2024,1.0,0
NH,Battery Electric Vehicle (BEV),2022,1.0,0
OR,Battery Electric Vehicle (BEV),2024,6.0,0
OR,Battery Electric Vehicle (BEV),2025,2.0,0
MS,Battery Electric Vehicle (BEV),2021,1.0,0
NH,Battery Electric Vehicle (BEV),2026,1.0,0
FL,Battery Electric Vehicle (BEV),2023,9.0,0
FL,Battery Electric Vehicle (BEV),2022,6.0,0
LA,Battery Electric Vehicle (BEV),2024,4.0,0
OR,Battery Electric Vehicle (BEV),2022,6.0,0
MD,Battery Electric Vehicle (BEV),2022,3.0,0
NH,Battery Electric Vehicle (BEV),2024,1.0,0
GA,Battery Electric Vehicle (BEV),2025,2.0,0
NE,Battery Electric Vehicle (BEV),2024,1.0,0
KY,Battery Electric Vehicle (BEV),2022,1.0,0
SC,Battery Electric Vehicle (BEV),2023,1.0,0
AZ,Battery Electric Vehicle (BEV),2022,2.0,0
GA,Battery Electric Vehicle (BEV),2022,1.0,0
MD,Plug-in Hybrid Electric Vehicle (PHEV),2021,2.0,32
AZ,Plug-in Hybrid Electric Vehicle (PHEV),2020,1.0,32
VA,Plug-in Hybrid Electric Vehicle (PHEV),2023,2.0,32
IL,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,32
KS,Plug-in Hybrid Electric Vehicle (PHEV),2019,1.0,32
KS,Plug-in Hybrid Electric Vehicle (PHEV),2025,1.0,32
TX,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,32
NV,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,32
KS,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,32
AZ,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,32
DC,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,32
PA,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,35
NJ,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,35
OR,Plug-in Hybrid Electric Vehicle (PHEV),2022,3.0,35
NV,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,35
WA,Plug-in Hybrid Electric Vehicle (PHEV),2025,7796.0,35
TX,Plug-in Hybrid Electric Vehicle (PHEV),2012,1.0,35
NJ,Plug-in Hybrid Electric Vehicle (PHEV),2012,1.0,35
WA,Plug-in Hybrid Electric Vehicle (PHEV),2011,57.0,35
AL,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,21
SC,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,21
TN,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,21
SC,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,21
FL,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,21
UT,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,21
NY,Plug-in Hybrid Electric Vehicle (PHEV),2021,2.0,21
WA,Plug-in Hybrid Electric Vehicle (PHEV),2012,786.0,21
GA,Plug-in Hybrid Electric Vehicle (PHEV),2022,2.0,33
MD,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,33
WA,Plug-in Hybrid Electric Vehicle (PHEV),2018,4231.0,33
KY,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,33
IN,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,33
VA,Plug-in Hybrid Electric Vehicle (PHEV),2022,3.0,33
WA,Plug-in Hybrid Electric Vehicle (PHEV),2014,1655.0,33
RI,Plug-in Hybrid Electric Vehicle (PHEV),2017,1.0,25
IL,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,25
NJ,Plug-in Hybrid Electric Vehicle (PHEV),2020,1.0,25
TN,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,25
MI,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,25
CO,Plug-in Hybrid Electric Vehicle (PHEV),2017,1.0,25
TX,Plug-in Hybrid Electric Vehicle (PHEV),2017,2.0,25
NY,Plug-in Hybrid Electric Vehicle (PHEV),2017,1.0,25
AL,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,25
WA,Plug-in Hybrid Electric Vehicle (PHEV),2013,1501.0,25
CA,Plug-in Hybrid Electric Vehicle (PHEV),2017,4.0,19
MD,Plug-in Hybrid Electric Vehicle (PHEV),2015,1.0,19
PA,Plug-in Hybrid Electric Vehicle (PHEV),2015,1.0,19
MD,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,19
AE,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,19
NV,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,19
CA,Plug-in Hybrid Electric Vehicle (PHEV),2016,1.0,19
NY,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,42
GA,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,42
WY,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,42
MO,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,42
NE,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,42
FL,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,42
FL,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,42
DE,Plug-in Hybrid Electric Vehicle (PHEV),2025,1.0,42
NM,Plug-in Hybrid Electric Vehicle (PHEV),2023,2.0,27
WA,Plug-in Hybrid Electric Vehicle (PHEV),2021,4334.0,27
IL,Plug-in Hybrid Electric Vehicle (PHEV),2024,3.0,27
WA,Plug-in Hybrid Electric Vehicle (PHEV),2020,1804.0,27
CA,Plug-in Hybrid Electric Vehicle (PHEV),2020,3.0,27
WA,Plug-in Hybrid Electric Vehicle (PHEV),2016,1630.0,27
NY,Plug-in Hybrid Electric Vehicle (PHEV),2023,2.0,37
AL,Plug-in Hybrid Electric Vehicle (PHEV),2023,2.0,37
WA,Plug-in Hybrid Electric Vehicle (PHEV),2017,3890.0,37
CA,Plug-in Hybrid Electric Vehicle (PHEV),2025,1.0,37
CA,Plug-in Hybrid Electric Vehicle (PHEV),2024,3.0,37
VA,Plug-in Hybrid Electric Vehicle (PHEV),2021,2.0,37
WA,Plug-in Hybrid Electric Vehicle (PHEV),2026,779.0,38
CT,Plug-in Hybrid Electric Vehicle (PHEV),2015,1.0,38
VA,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,38
GA,Plug-in Hybrid Electric Vehicle (PHEV),2013,1.0,38
FL,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,38
CA,Plug-in Hybrid Electric Vehicle (PHEV),2014,1.0,38
WA,Plug-in Hybrid Electric Vehicle (PHEV),2024,10545.0,31
WA,Plug-in Hybrid Electric Vehicle (PHEV),2019,2032.0,31
TX,Plug-in Hybrid Electric Vehicle (PHEV),2024,5.0,31
CA,Plug-in Hybrid Electric Vehicle (PHEV),2019,3.0,18
MD,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,18
MO,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,18
CO,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,18
BC,Plug-in Hybrid Electric Vehicle (PHEV),2022,1.0,22
FL,Plug-in Hybrid Electric Vehicle (PHEV),2023,3.0,22
CA,Plug-in Hybrid Electric Vehicle (PHEV),2018,3.0,22
RI,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,22
GU,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,26
CA,Plug-in Hybrid Electric Vehicle (PHEV),2022,7.0,26
ID,Plug-in Hybrid Electric Vehicle (PHEV),2020,1.0,26
KY,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,26
IL,Battery Electric Vehicle (BEV),2018,2.0,215
NY,Battery Electric Vehicle (BEV),2018,2.0,215
LA,Battery Electric Vehicle (BEV),2018,1.0,215
QC,Battery Electric Vehicle (BEV),2018,1.0,215
MO,Battery Electric Vehicle (BEV),2018,1.0,215
CO,Battery Electric Vehicle (BEV),2018,1.0,215
MD,Battery Electric Vehicle (BEV),2018,3.0,215
HI,Battery Electric Vehicle (BEV),2018,1.0,215
MA,Battery Electric Vehicle (BEV),2019,2.0,220
WI,Battery Electric Vehicle (BEV),2019,1.0,220
TX,Battery Electric Vehicle (BEV),2019,3.0,220
GA,Battery Electric Vehicle (BEV),2019,1.0,220
VA,Battery Electric Vehicle (BEV),2019,3.0,220
CT,Battery Electric Vehicle (BEV),2019,1.0,220
MI,Battery Electric Vehicle (BEV),2019,1.0,220
FL,Battery Electric Vehicle (BEV),2019,1.0,220
VA,Plug-in Hybrid Electric Vehicle (PHEV),2024,6.0,23
WI,Plug-in Hybrid Electric Vehicle (PHEV),2024,2.0,23
TN,Plug-in Hybrid Electric Vehicle (PHEV),2023,1.0,23
CA,Plug-in Hybrid Electric Vehicle (PHEV),2021,8.0,29
MA,Plug-in Hybrid Electric Vehicle (PHEV),2020,1.0,29
CA,Plug-in Hybrid Electric Vehicle (PHEV),2023,7.0,29
WA,Battery Electric Vehicle (BEV),2018,9632.0,210
WA,Battery Electric Vehicle (BEV),2019,8720.0,210
IN,Battery Electric Vehicle (BEV),2017,1.0,210
MD,Battery Electric Vehicle (BEV),2016,1.0,210
OR,Battery Electric Vehicle (BEV),2017,1.0,238
OR,Battery Electric Vehicle (BEV),2018,1.0,238
AL,Battery Electric Vehicle (BEV),2017,1.0,238
WA,Plug-in Hybrid Electric Vehicle (PHEV),2023,7489.0,30
CO,Plug-in Hybrid Electric Vehicle (PHEV),2023,2.0,30
OR,Plug-in Hybrid Electric Vehicle (PHEV),2021,1.0,30
MD,Plug-in Hybrid Electric Vehicle (PHEV),2024,4.0,30
FL,Plug-in Hybrid Electric Vehicle (PHEV),2017,1.0,14
AK,Plug-in Hybrid Electric Vehicle (PHEV),2016,1.0,14
CO,Plug-in Hybrid Electric Vehicle (PHEV),2022,2.0,20
VA,Plug-in Hybrid Electric Vehicle (PHEV),2018,2.0,20
MD,Plug-in Hybrid Electric Vehicle (PHEV),2013,1.0,6
ME,Plug-in Hybrid Electric Vehicle (PHEV),2012,1.0,6
OR,Battery Electric Vehicle (BEV),2020,1.0,322
MO,Battery Electric Vehicle (BEV),2020,2.0,322
CO,Battery Electric Vehicle (BEV),2020,1.0,322
CT,Battery Electric Vehicle (BEV),2020,1.0,322
BC,Battery Electric Vehicle (BEV),2017,1.0,200
MD,Battery Electric Vehicle (BEV),2017,1.0,200
NY,Battery Electric Vehicle (BEV),2016,1.0,200
NJ,Battery Electric Vehicle (BEV),2016,1.0,84
SC,Battery Electric Vehicle (BEV),2015,1.0,84
RI,Battery Electric Vehicle (BEV),2015,1.0,84
WA,Battery Electric Vehicle (BEV),2002,1.0,95
WA,Battery Electric Vehicle (BEV),2003,1.0,95
NM,Battery Electric Vehicle (BEV),2020,1.0,291
FL,Battery Electric Vehicle (BEV),2020,1.0,291
ID,Battery Electric Vehicle (BEV),2020,1.0,291
OR,Plug-in Hybrid Electric Vehicle (PHEV),2018,2.0,15
MN,Plug-in Hybrid Electric Vehicle (PHEV),2019,1.0,15
WA,Plug-in Hybrid Electric Vehicle (PHEV),2022,4849.0,28
MD,Plug-in Hybrid Electric Vehicle (PHEV),2023,2.0,28
OK,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,34
WA,Plug-in Hybrid Electric Vehicle (PHEV),2015,1238.0,34
AL,Battery Electric Vehicle (BEV),2020,1.0,259
NJ,Battery Electric Vehicle (BEV),2020,1.0,259
TX,Battery Electric Vehicle (BEV),2012,1.0,265
OR,Battery Electric Vehicle (BEV),2012,1.0,265
PA,Battery Electric Vehicle (BEV),2020,1.0,266
CA,Battery Electric Vehicle (BEV),2020,7.0,266
TX,Battery Electric Vehicle (BEV),2020,3.0,290
VA,Battery Electric Vehicle (BEV),2020,6.0,290
CA,Battery Electric Vehicle (BEV),2014,1.0,208
FL,Battery Electric Vehicle (BEV),2015,1.0,208
WA,Plug-in Hybrid Electric Vehicle (PHEV),2010,2.0,100
CT,Plug-in Hybrid Electric Vehicle (PHEV),2016,1.0,13
VA,Plug-in Hybrid Electric Vehicle (PHEV),2019,1.0,16
OH,Plug-in Hybrid Electric Vehicle (PHEV),2024,1.0,39
FL,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,47
AZ,Plug-in Hybrid Electric Vehicle (PHEV),2016,1.0,72
AZ,Plug-in Hybrid Electric Vehicle (PHEV),2018,1.0,9
TX,Plug-in Hybrid Electric Vehicle (PHEV),2023,3.0,24
AZ,Battery Electric Vehicle (BEV),2013,1.0,75
WA,Battery Electric Vehicle (BEV),2011,532.0,75
WA,Battery Electric Vehicle (BEV),2012,609.0,106
WA,Battery Electric Vehicle (BEV),2013,2460.0,109
WA,Battery Electric Vehicle (BEV),2015,3151.0,120
WA,Battery Electric Vehicle (BEV),2014,1555.0,126
VA,Battery Electric Vehicle (BEV),2015,2.0,144
VA,Battery Electric Vehicle (BEV),2014,2.0,146
CO,Battery Electric Vehicle (BEV),2019,1.0,150
FL,Battery Electric Vehicle (BEV),2018,1.0,151
GA,Battery Electric Vehicle (BEV),2020,1.0,153
WA,Battery Electric Vehicle (BEV),2017,4493.0,186
CA,Battery Electric Vehicle (BEV),2018,2.0,232
WA,Battery Electric Vehicle (BEV),2010,21.0,245
AZ,Battery Electric Vehicle (BEV),2018,1.0,249
WA,Battery Electric Vehicle (BEV),2020,10053.0,274
NV,Battery Electric Vehicle (BEV),2020,2.0,283
NC,Battery Electric Vehicle (BEV),2020,2.0,294
SC,Battery Electric Vehicle (BEV),2020,1.0,308
CA,Battery Electric Vehicle (BEV),2011,1.0,73
CO,Battery Electric Vehicle (BEV),2016,2.0,76
DC,Battery Electric Vehicle (BEV),2016,1.0,93
CA,Battery Electric Vehicle (BEV),2015,3.0,125
WA,Battery Electric Vehicle (BEV),2016,3431.0,136
CA,Battery Electric Vehicle (BEV),2016,3.0,164
CA,Battery Electric Vehicle (BEV),2017,3.0,173
WA,Battery Electric Vehicle (BEV),2008,20.0,209
VA,Battery Electric Vehicle (BEV),2018,3.0,222
CA,Battery Electric Vehicle (BEV),2019,3.0,243
WA,Battery Electric Vehicle (BEV),2021,16230.0,8
AB,Battery Electric Vehicle (BEV),1,0.0,2024
AL,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2024
AZ,Battery Electric Vehicle (BEV),3,0.0,2024
CA,Battery Electric Vehicle (BEV),18,0.0,2024
CA,Plug-in Hybrid Electric Vehicle (PHEV),3,37.666666666666664,2024
CO,Battery Electric Vehicle (BEV),3,0.0,2024
CT,Battery Electric Vehicle (BEV),1,0.0,2024
FL,Battery Electric Vehicle (BEV),6,0.0,2024
FL,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2024
GU,Plug-in Hybrid Electric Vehicle (PHEV),1,26.0,2024
IL,Battery Electric Vehicle (BEV),2,0.0,2024
IL,Plug-in Hybrid Electric Vehicle (PHEV),3,27.666666666666668,2024
IN,Battery Electric Vehicle (BEV),1,0.0,2024
KS,Battery Electric Vehicle (BEV),1,0.0,2024
KS,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2024
KY,Plug-in Hybrid Electric Vehicle (PHEV),1,26.0,2024
LA,Battery Electric Vehicle (BEV),4,0.0,2024
MA,Battery Electric Vehicle (BEV),1,0.0,2024
MD,Battery Electric Vehicle (BEV),9,0.0,2024
MD,Plug-in Hybrid Electric Vehicle (PHEV),4,30.5,2024
MI,Battery Electric Vehicle (BEV),1,0.0,2024
MO,Battery Electric Vehicle (BEV),3,0.0,2024
NC,Battery Electric Vehicle (BEV),1,0.0,2024
NE,Battery Electric Vehicle (BEV),1,0.0,2024
NH,Battery Electric Vehicle (BEV),1,0.0,2024
NJ,Battery Electric Vehicle (BEV),1,0.0,2024
NJ,Plug-in Hybrid Electric Vehicle (PHEV),1,35.0,2024
NV,Battery Electric Vehicle (BEV),2,0.0,2024
NY,Battery Electric Vehicle (BEV),1,0.0,2024
OH,Battery Electric Vehicle (BEV),1,0.0,2024
OH,Plug-in Hybrid Electric Vehicle (PHEV),1,39.0,2024
OK,Plug-in Hybrid Electric Vehicle (PHEV),1,34.0,2024
OR,Battery Electric Vehicle (BEV),6,0.0,2024
PA,Battery Electric Vehicle (BEV),2,0.0,2024
RI,Battery Electric Vehicle (BEV),2,0.0,2024
SC,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2024
TN,Battery Electric Vehicle (BEV),1,0.0,2024
TX,Battery Electric Vehicle (BEV),3,0.0,2024
TX,Plug-in Hybrid Electric Vehicle (PHEV),5,31.4,2024
VA,Battery Electric Vehicle (BEV),11,0.0,2024
VA,Plug-in Hybrid Electric Vehicle (PHEV),6,23.0,2024
WA,Battery Electric Vehicle (BEV),38676,0.7998758920260627,2024
WA,Plug-in Hybrid Electric Vehicle (PHEV),10545,31.91180654338549,2024
WI,Plug-in Hybrid Electric Vehicle (PHEV),2,23.0,2024
AL,Battery Electric Vehicle (BEV),1,0.0,2023
AL,Plug-in Hybrid Electric Vehicle (PHEV),2,37.0,2023
AP,Battery Electric Vehicle (BEV),1,0.0,2023
AZ,Battery Electric Vehicle (BEV),5,0.0,2023
BC,Battery Electric Vehicle (BEV),1,0.0,2023
CA,Battery Electric Vehicle (BEV),34,0.0,2023
CA,Plug-in Hybrid Electric Vehicle (PHEV),7,29.857142857142858,2023
CO,Battery Electric Vehicle (BEV),6,0.0,2023
CO,Plug-in Hybrid Electric Vehicle (PHEV),2,30.0,2023
DC,Battery Electric Vehicle (BEV),2,0.0,2023
FL,Battery Electric Vehicle (BEV),9,0.0,2023
FL,Plug-in Hybrid Electric Vehicle (PHEV),3,22.333333333333332,2023
GA,Battery Electric Vehicle (BEV),5,0.0,2023
ID,Battery Electric Vehicle (BEV),2,0.0,2023
IL,Battery Electric Vehicle (BEV),3,0.0,2023
MA,Battery Electric Vehicle (BEV),3,0.0,2023
MD,Battery Electric Vehicle (BEV),8,0.0,2023
MD,Plug-in Hybrid Electric Vehicle (PHEV),2,28.5,2023
MO,Battery Electric Vehicle (BEV),2,0.0,2023
NC,Battery Electric Vehicle (BEV),6,0.0,2023
NE,Battery Electric Vehicle (BEV),1,0.0,2023
NE,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2023
NJ,Battery Electric Vehicle (BEV),1,0.0,2023
NM,Plug-in Hybrid Electric Vehicle (PHEV),2,27.5,2023
NV,Battery Electric Vehicle (BEV),4,0.0,2023
NV,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2023
NY,Battery Electric Vehicle (BEV),2,0.0,2023
NY,Plug-in Hybrid Electric Vehicle (PHEV),2,37.0,2023
OH,Battery Electric Vehicle (BEV),2,0.0,2023
OK,Battery Electric Vehicle (BEV),2,0.0,2023
OR,Battery Electric Vehicle (BEV),3,0.0,2023
PA,Battery Electric Vehicle (BEV),2,0.0,2023
SC,Battery Electric Vehicle (BEV),1,0.0,2023
SC,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2023
TN,Battery Electric Vehicle (BEV),1,0.0,2023
TN,Plug-in Hybrid Electric Vehicle (PHEV),1,23.0,2023
TX,Battery Electric Vehicle (BEV),7,0.0,2023
TX,Plug-in Hybrid Electric Vehicle (PHEV),3,24.666666666666668,2023
UT,Battery Electric Vehicle (BEV),1,0.0,2023
UT,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2023
VA,Battery Electric Vehicle (BEV),18,0.0,2023
VA,Plug-in Hybrid Electric Vehicle (PHEV),2,32.5,2023
WA,Battery Electric Vehicle (BEV),51225,0.0,2023
WA,Plug-in Hybrid Electric Vehicle (PHEV),7489,30.505407931633062,2023
WY,Battery Electric Vehicle (BEV),1,0.0,2023
WY,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2023
AL,Plug-in Hybrid Electric Vehicle (PHEV),1,25.0,2022
AR,Battery Electric Vehicle (BEV),1,0.0,2022
AZ,Battery Electric Vehicle (BEV),2,0.0,2022
AZ,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2022
BC,Battery Electric Vehicle (BEV),1,0.0,2022
BC,Plug-in Hybrid Electric Vehicle (PHEV),1,22.0,2022
CA,Battery Electric Vehicle (BEV),15,0.0,2022
CA,Plug-in Hybrid Electric Vehicle (PHEV),7,26.285714285714285,2022
CO,Battery Electric Vehicle (BEV),4,0.0,2022
CO,Plug-in Hybrid Electric Vehicle (PHEV),2,20.0,2022
CT,Battery Electric Vehicle (BEV),1,0.0,2022
DC,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2022
FL,Battery Electric Vehicle (BEV),6,0.0,2022
FL,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2022
GA,Battery Electric Vehicle (BEV),1,0.0,2022
GA,Plug-in Hybrid Electric Vehicle (PHEV),2,33.5,2022
HI,Battery Electric Vehicle (BEV),1,0.0,2022
ID,Battery Electric Vehicle (BEV),1,0.0,2022
IL,Battery Electric Vehicle (BEV),3,0.0,2022
IL,Plug-in Hybrid Electric Vehicle (PHEV),1,25.0,2022
KY,Battery Electric Vehicle (BEV),1,0.0,2022
MD,Battery Electric Vehicle (BEV),3,0.0,2022
MD,Plug-in Hybrid Electric Vehicle (PHEV),1,18.0,2022
MI,Battery Electric Vehicle (BEV),1,0.0,2022
MI,Plug-in Hybrid Electric Vehicle (PHEV),1,25.0,2022
MO,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2022
MS,Battery Electric Vehicle (BEV),1,0.0,2022
NH,Battery Electric Vehicle (BEV),1,0.0,2022
NJ,Battery Electric Vehicle (BEV),4,0.0,2022
NV,Battery Electric Vehicle (BEV),2,0.0,2022
